D,m,k,h,i,Cd,U (to predict)
0.0127,173,0.124,0.155,0.00118,1,0.072
0.0127,173,0.124,0.207,0.00035,1,0.072
0.0127,173,0.124,0.308,0.00045,1,0.073
0.0127,173,0.124,0.308,0.00009,1,0.073
0.0127,173,0.124,0.155,0.00058,1,0.08
0.0127,173,0.124,0.207,0.00063,1,0.083
0.0127,173,0.124,0.308,0.00036,1,0.084
0.0127,173,0.124,0.155,0.00098,1,0.088
0.0127,173,0.124,0.155,0.00275,1,0.16
0.0127,173,0.124,0.308,0.00147,1,0.174
0.0127,173,0.124,0.207,0.00234,1,0.186
0.0127,173,0.124,0.308,0.00079,1,0.193
0.0127,173,0.124,0.155,0.00452,1,0.217
0.0127,173,0.124,0.155,0.00523,1,0.225
0.0127,173,0.124,0.207,0.00382,1,0.232
0.0127,173,0.124,0.155,0.00568,1,0.246
0.0127,173,0.124,0.207,0.00428,1,0.27
0.0127,173,0.124,0.155,0.00838,1,0.288
0.0127,173,0.124,0.155,0.01013,1,0.315
0.0127,173,0.124,0.155,0.01394,1,0.361
0.00318,696,0.124,0.155,0.00063,0.98,0.017
0.00318,696,0.124,0.155,0.0017,0.98,0.047
0.00318,696,0.124,0.155,0.00054,0.98,0.047
0.00318,696,0.124,0.308,0.00009,0.98,0.047
0.00318,696,0.124,0.205,0.0026,0.98,0.062
0.00318,696,0.124,0.308,0.00017,0.98,0.082
0.00318,696,0.124,0.206,0.00372,0.98,0.261
0.00318,696,0.124,0.155,0.00676,0.98,0.276
0.00318,696,0.124,0.311,0.00308,0.98,0.314
0.00318,696,0.124,0.205,0.01509,0.98,0.502
0.00635,173,0.124,0.205,0.00061,0.96,0.102
0.00635,173,0.124,0.155,0.00083,0.96,0.104
0.00635,173,0.124,0.155,0.00108,0.96,0.118
0.00635,173,0.124,0.155,0.00255,0.96,0.189
0.00635,173,0.124,0.205,0.00239,0.96,0.222
0.00635,173,0.124,0.155,0.00703,0.96,0.354
0.0064,340,0.139,0.467,0.0000102,0.77,0.045
0.0064,340,0.0139,0.467,0.00000055,0.85,0.037
0.0064,400,0.138,0.467,0.0000456,0.67,0.087
0.0064,400,0.138,0.467,0.0000062,0.82,0.03
0.0064,800,0.138,0.467,0.0000512,0.61,0.088
0.0064,800,0.138,0.467,0.0000224,0.66,0.057
0.006,250,0.07,0.236,0.00000111,1,0.013
0.006,250,0.07,0.298,0.000000647,1,0.014
0.006,250,0.07,0.14,0.00000646,1,0.021
0.006,250,0.07,0.088,0.0000477,1,0.033
0.006,250,0.07,0.298,0.00000579,1,0.038
0.006,250,0.07,0.236,0.000011,1,0.042
0.006,250,0.07,0.105,0.000243,1,0.095
0.006,250,0.07,0.14,0.000233,1,0.117
0.006,250,0.07,0.088,0.000596,1,0.117
0.006,250,0.07,0.105,0.0000319,1,0.197
0.006,800,0.07,0.14,0.0000122,1,0.022
0.006,800,0.07,0.105,0.0000652,1,0.031
0.006,800,0.07,0.298,0.00000368,1,0.037
0.006,800,0.07,0.14,0.00011,1,0.062
0.00238,1808,0.152,0.153,0.00285,1.04,0.052
0.00238,1808,0.152,0.159,0.00249,1.04,0.052
0.00238,1808,0.051,0.058,0.0025,1.04,0.054
0.00238,1808,0.051,0.123,0.0025,1.04,0.121
0.00238,1808,0.051,0.154,0.00249,1.04,0.157
0.00238,452,0.051,0.059,0.00239,1.01,0.117
0.00238,452,0.152,0.167,0.00254,1.01,0.126
0.00238,452,0.051,0.112,0.00215,1.01,0.196
0.00238,452,0.051,0.145,0.0023,1.01,0.213
0.00238,200,0.152,0.162,0.00244,1.03,0.165
0.00238,200,0.152,0.177,0.00247,1.03,0.177
0.00238,200,0.051,0.087,0.00193,1.03,0.207
0.00238,200,0.051,0.122,0.0019,1.03,0.253
0.00238,200,0.051,0.153,0.00188,1.03,0.289
0.00238,113,0.051,0.064,0.00182,1.17,0.198
0.00238,113,0.152,0.156,0.00241,1.17,0.205
0.00238,113,0.051,0.127,0.00163,1.17,0.241
0.00238,113,0.051,0.093,0.0017,1.17,0.249
0.00238,11,0.152,0.181,0.00255,1.17,0.226
0.00238,113,0.152,0.17,0.00246,1.17,0.224
0.0015,2500,0.0418,0.08,0.001,3.14,0.0945
0.0015,2500,0.0419,0.1,0.001,3.14,0.1308
0.0015,2500,0.0265,0.1,0.003,3.14,0.3854
0.0015,2500,0.0238,0.08,0.007,3.14,0.452
0.0015,2500,0.0245,0.08,0.007,3.14,0.4836
0.000825,10000,0.165,0.2475,0.0087,1.29,0.211
0.000825,10000,0.165,0.2236,0.0174,1.27,0.2332
0.000825,2500,0.165,0.2421,0.0087,1.35,0.1587
0.000825,2500,0.165,0.2386,0.0087,1.33,0.1793
0.000825,2500,0.165,0.1962,0.0174,1.22,0.2948
0.0045,28000,0.07,0.128,0.002,1,0.35
0.0045,28000,0.057,0.163,0.002,1,0.521
0.0045,28000,0.054,0.19,0.002,1,0.681
0.0045,28000,0.051,0.202,0.002,1,0.757
0.0045,28000,0.044,0.258,0.002,1,0.976
0.0045,28000,0.045,0.272,0.002,1,1.047
0.0045,31000,0.08,0.095,0.002,1,0.211
0.0045,31000,0.078,0.092,0.005,1,0.218
0.0045,31000,0.075,0.089,0.001,1,0.225
0.0045,31000,0.07,0.085,0.02,1,0.236
0.0045,31000,0.053,0.075,0.025,1,0.26
0.0045,31000,0.058,0.072,0.03,1,0.278
0.0045,31000,0.072,0.088,0.015,1,0.288
0.0045,31000,0.051,0.068,0.035,1,0.295
0.0045,31000,0.048,0.065,0.04,1,0.308
0.0045,31000,0.047,0.062,0.045,1,0.323
0.0045,31000,0.046,0.061,0.05,1,0.329
0.0045,31000,0.061,0.112,0.001,1,0.358
0.0045,31000,0.058,0.124,0.002,1,0.446
0.0045,31000,0.056,0.121,0.005,1,0.457
0.0045,31000,0.06,0.135,0.001,1,0.471
0.0045,31000,0.055,0.116,0.001,1,0.477
0.0045,31000,0.058,0.133,0.002,1,0.479
0.0045,31000,0.056,0.129,0.005,1,0.493
0.0045,31000,0.054,0.122,0.001,1,0.522
0.0045,31000,0.048,0.119,0.001,1,0.526
0.0045,44000,0.068,0.081,0.005,1,0.218
0.0045,44000,0.0678,0.082,0.002,1,0.245
0.0045,44000,0.066,0.079,0.01,1,0.251
0.0045,44000,0.065,0.076,0.015,1,0.264
0.0045,44000,0.064,0.073,0.02,1,0.275
0.0045,44000,0.064,0.071,0.025,1,0.283
0.0045,44000,0.063,0.068,0.03,1,0.296
0.0045,44000,0.062,0.067,0.035,1,0.3
0.0045,44000,0.061,0.064,0.045,1,0.314
0.0045,44000,0.082,0.14,0.002,1,0.321
0.0045,44000,0.06,0.061,0.05,1,0.33
0.0045,44000,0.08,0.146,0.002,1,0.344
0.0045,44000,0.077,0.125,0.01,1,0.36
0.0045,44000,0.08,0.135,0.01,1,0.371
0.0045,44000,0.067,0.104,0.001,1,0.386
0.0045,44000,0.065,0.103,0.002,1,0.39
0.0045,44000,0.061,0.065,0.04,1,0.39
0.0045,44000,0.07,0.178,0.002,1,0.725
0.0045,44000,0.063,0.17,0.001,1,0.761
0.0045,44000,0.058,0.168,0.002,1,0.77
0.0045,44000,0.066,0.168,0.01,1,0.77
0.0045,44000,0.057,0.164,0.005,1,0.789
0.0045,44000,0.056,0.159,0.01,1,0.814
0.0045,44000,0.063,0.199,0.002,1,0.888
0.0045,44000,0.059,0.198,0.001,1,0.903
0.0045,44000,0.059,0.196,0.002,1,0.912
0.0045,44000,0.058,0.191,0.005,1,0.936
0.0045,44000,0.05,0.186,0.01,1,0.961
0.0045,44000,0.059,0.183,0.01,1,0.964
